tuple1,tuple2
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...","(There isn't much in the way of spoilers, since there isn't a plot to reveal, but still, I guess I describe some of what happens so...) This is it. This is THE most nonsensical film I've ever seen. There are simply no words to describe this movie, although ""bizarre"" ""ridiculous"" and ""ego trip"" are pretty close. the opening half hour or so are really, really weird music videos, with absolutely no plot or continuity, ..."
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...","Please, spare me of these movies that teach us that crime is fun and justified. Couple that with a vacuous script with an intense desire to be a Farrelly or a Coen brother, plus the lives of yet ANOTHER group of supposedly high school age people acting out their Dawson Creek-brand teen angst complete with a GenXYZ soundtrack that woefully tries to make the movie ""feel"" cool and, we have intensely and painfully inept satire.<br /><br />This isn't even water ..."
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...","The 1998 Michael Keaton kiddie comedy of the same title was roundly condemned for it's, um, shoddy special effects, but compared to what Screaming Mad George cooked up for this horror comedy they're positively mind-boggling. The killer snowman seems to be made out of styrofoam and his arms look like oversized oven mitts. Which they probably were. The cast lays it on thick in this parody of dozens of other (much worse) movies and ..."
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...","Contrary to my principles, let me first come up with a conclusion, because I have just seen this piece of ""art"", and still am under strong impressions. The reader is asked to excuse my stronger vocabulary.<br /><br />Well, this movie is absolutely horrible, and I would never bother to write a single word about it, if it were not for the fact that ""44 Minutes"" made me sick to death, which rarely happens to me. The fact that I paid for that does ..."
"I'm guessing the writers have never read a book of any kind, much less a Dickens novel, and certainly not David Copperfield, and that they based their screenplay on another poorly written screenplay, possibly an adaptation of Copperfield, though just as likely anything else, from which they randomly discarded about a third of the pages and then shuffled the rest, along with some random pages from a screenplay that someone's eighth grade nephew had written for an English class, and for which he had received a failing grade ...",The plot is rocky. The acting is somewhere south of a Jr. High School play. The cinematography is not bad but it looks like it was cut with a machete. I couldn't decide of this was an intentionally hokey flick or if the people behind it actually thought they were making a good film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing quick-draw 6 gun rigs. It has more than its fair share ...
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","CQ could have been good, campy fun. But it commits the only unforgivable sin: it is b-o-r-i-n-g! The pace is deadly slow and the plot is fairly confused and so artificial that it's next to impossible to care where it's going. The story would have been acceptable in a creative writing class from a thoughtful and sensitive eighth grader but this video should have carried a warning label: ""CAUTION: Student film. Fit for viewing only by relatives of ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","To the small minority seen here praising this film GET SERIOUS. I know it's down to peoples personal opinion at the end of the day, but anyone with more than a couple of brain cells can surely see that this is total rubbish. So bad it does not deserve to be part of this franchise. I can only assume those saying how great this is are friends with somebody involved in the film and are trying to give their career a push. Poor in every way, don't con people by saying ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","I'm a big fan of the TV series Largo Winch. This movie was pain for me. I had to use fast forward not to fell to sleep. It was boring! How can somebody ruin this title so much? The story was the only good thing. Actors were sh.t. They can't live the role. The main actor(Tom... ) is a null. Watch the other roles of this actor. The fighting scenes were unbelievable boring and not to followable,somehow they ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","I was searching through Hollywood video last night with a friend trying to find a good-looking horror movie to watch over the New Year's weekend. As I was looking through the shelves, ""Severed"" spotted my eye, and I grabbed it off the shelf and it looked like it might be a decent B-grade horror movie. The cover looked fairly good. The plot sounded semi-interesting. So I rented it. What a mistake. Don't be fooled by the cover, which actually looks decent ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","I had to watch this in school. And to sum it up...<br /><br />Talentless actors, talentless script, and a talentless director.<br /><br />This movie is such a waste of your time. Don't even watch the movie. Don't bother. You will be so disappointed. My teacher said it was supposed to be good. How wrong she was. She even slept through it a little. The movie's actors were just bad. The best actor in ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","As a young black/latina woman I am always searching for movies that represent the experiences and lives of people like me. Of course when I saw this movie at the video store I thought I would enjoy it; unfortunately, I didn't. Although the topics presented in the film are interesting and relevant, the story was simply not properly developed. The movie just kept dragging on and on and many of the characters that appear on screen just come and go without much to contribute to the overall film. Had ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","The good news is a movie was made, drawing on a supposed Aztec myth and featuring an unusually Aztec-American (is such a word exists) cast. The bad news is, it was dead at birth.<br /><br />If Ed Wood had come out of retirement and coached George Romaro through his classic 'Night of the Living Dead,' this is what we might have come up with. 'The Legend of Diablo' is clearly fodder for any future resurrections of 'Mystery Science ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","Please, spare me of these movies that teach us that crime is fun and justified. Couple that with a vacuous script with an intense desire to be a Farrelly or a Coen brother, plus the lives of yet ANOTHER group of supposedly high school age people acting out their Dawson Creek-brand teen angst complete with a GenXYZ soundtrack that woefully tries to make the movie ""feel"" cool and, we have intensely and painfully inept satire.<br /><br />This isn't even water ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...","Contrary to my principles, let me first come up with a conclusion, because I have just seen this piece of ""art"", and still am under strong impressions. The reader is asked to excuse my stronger vocabulary.<br /><br />Well, this movie is absolutely horrible, and I would never bother to write a single word about it, if it were not for the fact that ""44 Minutes"" made me sick to death, which rarely happens to me. The fact that I paid for that does ..."
"Even if you're a huge Sandler fan, please don't bother with this extremely disappointing comedy! I bought this movie for $7.99, assuming it has to be at least halfway decent since my man Sandler is in it and because I assumed some women would get naked (judging by the R-rating and scantily-clad women on the cover). Well, there are quite a few scantily-clad women, but none get naked. I'm not sure what point this was in ...",The plot is rocky. The acting is somewhere south of a Jr. High School play. The cinematography is not bad but it looks like it was cut with a machete. I couldn't decide of this was an intentionally hokey flick or if the people behind it actually thought they were making a good film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing quick-draw 6 gun rigs. It has more than its fair share ...
"Spoilers... if such a thing is possible.......... As a rabid Robin Williams fan, I felt it necessary to buy this film as first on-screen appearance. Wow... I could not imagine a more mind-numbing movie. Essentially, the movie takes one bad joke after another that your uncle Artie would tell you after dinner and dramatizes them. Robin Williams plays a lawyer in a 30 sec skit.<br /><br />I'm all for b ...","To the small minority seen here praising this film GET SERIOUS. I know it's down to peoples personal opinion at the end of the day, but anyone with more than a couple of brain cells can surely see that this is total rubbish. So bad it does not deserve to be part of this franchise. I can only assume those saying how great this is are friends with somebody involved in the film and are trying to give their career a push. Poor in every way, don't con people by saying ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","This movie is among my favorite foreign films, some of the others are Amilee and My Life As a Dog. The similarities with those movies as with so many great foreign films, is that it takes a mundane slice of life and transforms it into a profound heartfelt lesson. <br /><br />In Japan, a man who is bored with his mundane life and the rut of his married life, sees a beautiful Japanese woman staring out the window of a dance studio. In the instant that it takes his ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","House of Games is a wonderful movie at multiple levels. It is a fine mystery and a shocking thriller. It is blessed with marvelous performances by Lindsay Crouse and Joe Montegna, and a strong, strong cast of supporting players, and it introduces Ricky Jay, card sharp extraordinaire, prestidigitator and historian of magic. Its dialogue, written by David Mamet, is spoken as if in a play of manners and gives the movie (in which reality is often in question) ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","Another in the they don't make em like that category. This story of a family with some real skeletons in its closet still qualifies as good clean, sometimes over-the-top fun. Robert Stack and Dorothy Malone are at their peak as the troubled Hadley siblings, and they really took the roles and ran with them. Malone won an Oscar and Stack was nominated in the supporting categories, both honors being eminently well-deserved. They counterbalance the somewhat bland leads. Neither Bacall nor Hudson could ever ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","As many reviewers here have noted, the film version differs quite a bit from the stage version of the story. I have never seen the stage version of the story, and therefore I have a more favorable review of the film than many other reviewers. Perhaps Richard Attenborough was not the best choice for director of the film, but the film is still an entertaining account of several dancers trying to make the big time in choreographer Michael Douglas' show. The film does right by not selecting any famous actors ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","At your video store, you might find this gem.<br /><br />The human condition in modern times LA. No exaggerated drama, just a collapsing of events that might happen to any group of individuals over time.<br /><br />Helps you understand the joys and desperation of urban life.<br /><br />The direction and cutting are top class. Cinematography and music very much follows the mood and situation. And the CAST!!! <br /><br />Excellent casting and excellent acting. No ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","The word 'classic' is thrown around too loosely nowadays, but this movie well deserves the appelation. The combination of Neil Simon, Walter Matthau (possibly the world's best living comic actor), and the late lamented George Burns make for a comic masterpiece. It is interesting to contemplate what the movie would have been like had not death prevented Jack Benny from playing George Burns' part, as had been planned. As it is, the reunion scene in Matthau's apartment is not likely to be ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","The best Treasure Island ever made. They just don't make films<br /><br />like this anymore, or ever. No one makes films like this. More<br /><br />than a novelty, this film is funny, frank and fascinating, yet moody,<br /><br />mysterious and morose. This is one of my favorite pictures. The<br /><br />director must have had some idea what it is all about, but he<br /><br />certainly leaves room for ..."
"A movie of outstanding brilliance and a poignant and unusual love story, the Luzhin Defence charts the intense attraction between an eccentric genius and a woman of beauty, depth and character.<br /><br />	It gives John Turturro what is probably his finest role to date (thank goodness they didn't give it to Ralph Fiennes, who would have murdered it.) Similarly, Emily Watson shows the wealth of her experience (from her outstanding background on the stage). To reach the tortured chess master (T ...","Besides the fact that my list of favorite movie makers is: 1)Stanley Kubrick 2)God Allmighty 3)the rest... this movie actually is better than the book (and the TV miniseries though this is an easy feat, considering the director). The flawless filming stile, the acting and (Kubrick's all time number one skill) the music - make it THE masterpiece of horror. I watched the TV miniseries a few years ago and liked ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...","CQ could have been good, campy fun. But it commits the only unforgivable sin: it is b-o-r-i-n-g! The pace is deadly slow and the plot is fairly confused and so artificial that it's next to impossible to care where it's going. The story would have been acceptable in a creative writing class from a thoughtful and sensitive eighth grader but this video should have carried a warning label: ""CAUTION: Student film. Fit for viewing only by relatives of ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...","(There isn't much in the way of spoilers, since there isn't a plot to reveal, but still, I guess I describe some of what happens so...) This is it. This is THE most nonsensical film I've ever seen. There are simply no words to describe this movie, although ""bizarre"" ""ridiculous"" and ""ego trip"" are pretty close. the opening half hour or so are really, really weird music videos, with absolutely no plot or continuity, ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...","Otherwise it is one of the worst movies I've ever seen - and I mean ever. My wife and I were both bored out of our minds within 10 minutes. Not to mention being boring, it is entirely unbelievable. Women (non-lesbian) don't bathe together - nor do they ""accidentally"" kiss. Brothers and sisters don't live together well into their 30s and run around swing dancing together and engaging in footraces in central park. Men don't find ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...","Please, spare me of these movies that teach us that crime is fun and justified. Couple that with a vacuous script with an intense desire to be a Farrelly or a Coen brother, plus the lives of yet ANOTHER group of supposedly high school age people acting out their Dawson Creek-brand teen angst complete with a GenXYZ soundtrack that woefully tries to make the movie ""feel"" cool and, we have intensely and painfully inept satire.<br /><br />This isn't even water ..."
"Ah yez, the Sci Fi Channel produces Yeti another abominable movie. I was particularly taken by the scenes immediately following the crash where, as the survivors desperately searched for matches, at least a half dozen fires burned  with no apparent reason  at various points of the wreckage. Fire seemed to be a predominate theme throughout. They searched corpses for lighters and matches, and finally finding a box built a fire every day for, apparently, 12, but no one ...",The plot is rocky. The acting is somewhere south of a Jr. High School play. The cinematography is not bad but it looks like it was cut with a machete. I couldn't decide of this was an intentionally hokey flick or if the people behind it actually thought they were making a good film. Think Death Valley Days meets Mayberry RFD. People running around in a 'lawless' modern town wearing quick-draw 6 gun rigs. It has more than its fair share ...
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","CQ could have been good, campy fun. But it commits the only unforgivable sin: it is b-o-r-i-n-g! The pace is deadly slow and the plot is fairly confused and so artificial that it's next to impossible to care where it's going. The story would have been acceptable in a creative writing class from a thoughtful and sensitive eighth grader but this video should have carried a warning label: ""CAUTION: Student film. Fit for viewing only by relatives of ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","Terrible use of scene cuts. All continuity is lost, either by awful scripting or lethargic direction. That villainous robot... musta been a jazz dancer? Also, one of the worst sound tracks I've ever heard (monologues usually drowned out by music.) And... where'd they get their props? That ship looks like a milk carton... I did better special effects on 8mm at the age of 13!<br /><br />I'd recommend any film student ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","(There isn't much in the way of spoilers, since there isn't a plot to reveal, but still, I guess I describe some of what happens so...) This is it. This is THE most nonsensical film I've ever seen. There are simply no words to describe this movie, although ""bizarre"" ""ridiculous"" and ""ego trip"" are pretty close. the opening half hour or so are really, really weird music videos, with absolutely no plot or continuity, ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","To the small minority seen here praising this film GET SERIOUS. I know it's down to peoples personal opinion at the end of the day, but anyone with more than a couple of brain cells can surely see that this is total rubbish. So bad it does not deserve to be part of this franchise. I can only assume those saying how great this is are friends with somebody involved in the film and are trying to give their career a push. Poor in every way, don't con people by saying ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","I'm a big fan of the TV series Largo Winch. This movie was pain for me. I had to use fast forward not to fell to sleep. It was boring! How can somebody ruin this title so much? The story was the only good thing. Actors were sh.t. They can't live the role. The main actor(Tom... ) is a null. Watch the other roles of this actor. The fighting scenes were unbelievable boring and not to followable,somehow they ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","I was searching through Hollywood video last night with a friend trying to find a good-looking horror movie to watch over the New Year's weekend. As I was looking through the shelves, ""Severed"" spotted my eye, and I grabbed it off the shelf and it looked like it might be a decent B-grade horror movie. The cover looked fairly good. The plot sounded semi-interesting. So I rented it. What a mistake. Don't be fooled by the cover, which actually looks decent ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","I had to watch this in school. And to sum it up...<br /><br />Talentless actors, talentless script, and a talentless director.<br /><br />This movie is such a waste of your time. Don't even watch the movie. Don't bother. You will be so disappointed. My teacher said it was supposed to be good. How wrong she was. She even slept through it a little. The movie's actors were just bad. The best actor in ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","Otherwise it is one of the worst movies I've ever seen - and I mean ever. My wife and I were both bored out of our minds within 10 minutes. Not to mention being boring, it is entirely unbelievable. Women (non-lesbian) don't bathe together - nor do they ""accidentally"" kiss. Brothers and sisters don't live together well into their 30s and run around swing dancing together and engaging in footraces in central park. Men don't find ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","As a young black/latina woman I am always searching for movies that represent the experiences and lives of people like me. Of course when I saw this movie at the video store I thought I would enjoy it; unfortunately, I didn't. Although the topics presented in the film are interesting and relevant, the story was simply not properly developed. The movie just kept dragging on and on and many of the characters that appear on screen just come and go without much to contribute to the overall film. Had ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","The good news is a movie was made, drawing on a supposed Aztec myth and featuring an unusually Aztec-American (is such a word exists) cast. The bad news is, it was dead at birth.<br /><br />If Ed Wood had come out of retirement and coached George Romaro through his classic 'Night of the Living Dead,' this is what we might have come up with. 'The Legend of Diablo' is clearly fodder for any future resurrections of 'Mystery Science ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","Please, spare me of these movies that teach us that crime is fun and justified. Couple that with a vacuous script with an intense desire to be a Farrelly or a Coen brother, plus the lives of yet ANOTHER group of supposedly high school age people acting out their Dawson Creek-brand teen angst complete with a GenXYZ soundtrack that woefully tries to make the movie ""feel"" cool and, we have intensely and painfully inept satire.<br /><br />This isn't even water ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","The 1998 Michael Keaton kiddie comedy of the same title was roundly condemned for it's, um, shoddy special effects, but compared to what Screaming Mad George cooked up for this horror comedy they're positively mind-boggling. The killer snowman seems to be made out of styrofoam and his arms look like oversized oven mitts. Which they probably were. The cast lays it on thick in this parody of dozens of other (much worse) movies and ..."
"I had the misfortune to watch this rubbish on Sky Cinema Max in a cold winter night. I am not a big fan of horror movies, because most of them are just trash. This one is even worse: it is one of the dumbest pieces of crap i've ever seen in my whole life. Horror movie? Yes, there are horrible things in this: the acting, the script and the special effects - Gosh, i laughed at this ludicrous attempt to make a flick for 90 ...","Contrary to my principles, let me first come up with a conclusion, because I have just seen this piece of ""art"", and still am under strong impressions. The reader is asked to excuse my stronger vocabulary.<br /><br />Well, this movie is absolutely horrible, and I would never bother to write a single word about it, if it were not for the fact that ""44 Minutes"" made me sick to death, which rarely happens to me. The fact that I paid for that does ..."
